% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.206	1	1	121	7	2	28	1095	0
1.215	1	2	122	6	1	28	1095	0
1.215	1	1	122	6	2	28	1095	0
1.216	1	2	122	7	1	28	1095	0
1.216	1	1	122	7	2	28	1095	0
1.225	1	2	123	6	1	28	1095	0
1.225	1	1	123	6	2	28	1095	0
1.226	1	2	123	7	1	28	1095	0
1.226	1	1	123	7	2	28	1095	0
1.235	1	2	124	6	1	28	1095	0
1.235	1	1	124	6	2	28	1095	0
1.236	1	2	124	7	1	28	1095	0
1.236	1	1	124	7	2	28	1095	0
1.245	1	2	125	6	1	28	1095	0
1.245	1	1	125	6	2	28	1095	0
1.246	1	2	125	7	1	28	1095	0
1.246	1	1	125	7	2	28	1095	0
1.255	1	2	126	6	1	28	1095	0
1.255	1	1	126	6	2	28	1095	0
1.256	1	2	126	7	1	28	1095	0
1.256	1	1	126	7	2	28	1095	0
1.265	1	2	127	6	1	28	1095	0
1.265	1	1	127	6	2	28	1095	0
1.266	1	2	127	7	1	28	1095	0
1.266	1	1	127	7	2	28	1095	0
1.275	1	2	128	6	1	28	1095	0
1.275	1	1	128	6	2	28	1095	0
1.276	1	2	128	7	1	28	1095	0
1.276	1	1	128	7	2	28	1095	0
1.285	1	2	129	6	1	28	1095	0
1.285	1	1	129	6	2	28	1095	0
1.286	1	2	129	7	1	28	1095	0
1.286	1	1	129	7	2	28	1095	0
1.295	1	2	130	6	1	28	1095	0
1.295	1	1	130	6	2	28	1095	0
1.296	1	2	130	7	1	28	1095	0
1.296	1	1	130	7	2	28	1095	0
1.305	1	2	131	6	1	28	1095	0
1.305	1	1	131	6	2	28	1095	0
1.306	1	2	131	7	1	28	1095	0
1.306	1	1	131	7	2	28	1095	0
1.315	1	2	132	6	1	28	1095	0
1.315	1	1	132	6	2	28	1095	0
1.316	1	2	132	7	1	28	1095	0
1.316	1	1	132	7	2	28	1095	0
1.325	1	2	133	6	1	28	1095	0
1.325	1	1	133	6	2	28	1095	0
1.326	1	2	133	7	1	28	1095	0
1.326	1	1	133	7	2	28	1095	0
1.335	1	2	134	6	1	28	1095	0
1.335	1	1	134	6	2	28	1095	0
1.336	1	2	134	7	1	28	1095	0
1.336	1	1	134	7	2	28	1095	0
1.345	1	2	135	6	1	28	1095	0
1.345	1	1	135	6	2	28	1095	0
1.346	1	2	135	7	1	28	1095	0
1.346	1	1	135	7	2	28	1095	0
1.355	1	2	136	6	1	28	1095	0
1.355	1	1	136	6	2	28	1095	0
1.356	1	2	136	7	1	28	1095	0
1.356	1	1	136	7	2	28	1095	0
1.365	1	2	137	6	1	28	1095	0
1.365	1	1	137	6	2	28	1095	0
1.366	1	2	137	7	1	28	1095	0
1.366	1	1	137	7	2	28	1095	0
1.375	1	2	138	6	1	28	1095	0
1.375	1	1	138	6	2	28	1095	0
1.376	1	2	138	7	1	28	1095	0
1.376	1	1	138	7	2	28	1095	0
1.385	1	2	139	6	1	28	1095	0
1.385	1	1	139	6	2	28	1095	0
1.386	1	2	139	7	1	28	1095	0
1.386	1	1	139	7	2	28	1095	0
1.395	1	2	140	6	1	28	1095	0
1.395	1	1	140	6	2	28	1095	0
1.396	1	2	140	7	1	28	1095	0
1.396	1	1	140	7	2	28	1095	0
1.405	1	2	141	6	1	28	1095	0
1.405	1	1	141	6	2	28	1095	0
1.406	1	2	141	7	1	28	1095	0
1.406	1	1	141	7	2	28	1095	0
1.415	1	2	142	6	1	28	1095	0
1.415	1	1	142	6	2	28	1095	0
1.416	1	2	142	7	1	28	1095	0
1.416	1	1	142	7	2	28	1095	0
1.425	1	2	143	6	1	28	1095	0
1.425	1	1	143	6	2	28	1095	0
1.426	1	2	143	7	1	28	1095	0
1.426	1	1	143	7	2	28	1095	0
1.435	1	2	144	6	1	28	1095	0
1.435	1	1	144	6	2	28	1095	0
1.436	1	2	144	7	1	28	1095	0
1.436	1	1	144	7	2	28	1095	0
1.445	1	2	145	6	1	28	1095	0
1.445	1	1	145	6	2	28	1095	0
1.446	1	2	145	7	1	28	1095	0
1.446	1	1	145	7	2	28	1095	0
1.455	1	2	146	6	1	28	1095	0
1.455	1	1	146	6	2	28	1095	0
1.456	1	2	146	7	1	28	1095	0
1.456	1	1	146	7	2	28	1095	0
1.465	1	2	147	6	1	28	1095	0
1.465	1	1	147	6	2	28	1095	0
1.466	1	2	147	7	1	28	1095	0
1.466	1	1	147	7	2	28	1095	0
1.475	1	2	148	6	1	28	1095	0
1.475	1	1	148	6	2	28	1095	0
1.476	1	2	148	7	1	28	1095	0
1.476	1	1	148	7	2	28	1095	0
1.485	1	2	149	6	1	28	1095	0
1.485	1	1	149	6	2	28	1095	0
1.486	1	2	149	7	1	28	1095	0
1.486	1	1	149	7	2	28	1095	0
1.495	1	2	150	6	1	28	1095	0
1.495	1	1	150	6	2	28	1095	0
1.496	1	2	150	7	1	28	1095	0
1.496	1	1	150	7	2	28	1095	0
1.505	1	2	151	6	1	28	1095	0
1.505	1	1	151	6	2	28	1095	0
1.506	1	2	151	7	1	28	1095	0
1.506	1	1	151	7	2	28	1095	0
1.515	1	2	152	6	1	28	1095	0
1.515	1	1	152	6	2	28	1095	0
1.516	1	2	152	7	1	28	1095	0
1.516	1	1	152	7	2	28	1095	0
1.525	1	2	153	6	1	28	1095	0
1.525	1	1	153	6	2	28	1095	0
1.526	1	2	153	7	1	28	1095	0
1.526	1	1	153	7	2	28	1095	0
1.535	1	2	154	6	1	28	1095	0
1.535	1	1	154	6	2	28	1095	0
1.536	1	2	154	7	1	28	1095	0
1.536	1	1	154	7	2	28	1095	0
1.545	1	2	155	6	1	28	1095	0
1.545	1	1	155	6	2	28	1095	0
1.546	1	2	155	7	1	28	1095	0
1.546	1	1	155	7	2	28	1095	0
1.555	1	2	156	6	1	28	1095	0
1.555	1	1	156	6	2	28	1095	0
1.556	1	2	156	7	1	28	1095	0
1.556	1	1	156	7	2	28	1095	0
1.565	1	2	157	6	1	28	1095	0
1.565	1	1	157	6	2	28	1095	0
1.566	1	2	157	7	1	28	1095	0
1.566	1	1	157	7	2	28	1095	0
1.575	1	2	158	6	1	28	1095	0
1.575	1	1	158	6	2	28	1095	0
1.576	1	2	158	7	1	28	1095	0
1.576	1	1	158	7	2	28	1095	0
1.585	1	2	159	6	1	28	1095	0
1.585	1	1	159	6	2	28	1095	0
1.586	1	2	159	7	1	28	1095	0
1.586	1	1	159	7	2	28	1095	0
1.595	1	2	160	6	1	28	1095	0
1.595	1	1	160	6	2	28	1095	0
1.596	1	2	160	7	1	28	1095	0
1.596	1	1	160	7	2	28	1095	0
1.605	1	2	161	6	1	28	1095	0
1.605	1	1	161	6	2	28	1095	0
1.606	1	2	161	7	1	28	1095	0
1.606	1	1	161	7	2	28	1095	0
1.615	1	2	162	6	1	28	1095	0
1.615	1	1	162	6	2	28	1095	0
1.616	1	2	162	7	1	28	1095	0
1.616	1	1	162	7	2	28	1095	0
1.625	1	2	163	6	1	28	1095	0
1.625	1	1	163	6	2	28	1095	0
1.626	1	2	163	7	1	28	1095	0
1.626	1	1	163	7	2	28	1095	0
1.635	1	2	164	6	1	28	1095	0
1.635	1	1	164	6	2	28	1095	0
1.636	1	2	164	7	1	28	1095	0
1.636	1	1	164	7	2	28	1095	0
1.645	1	2	165	6	1	28	1095	0
1.645	1	1	165	6	2	28	1095	0
1.646	1	2	165	7	1	28	1095	0
1.646	1	1	165	7	2	28	1095	0
1.655	1	2	166	6	1	28	1095	0
1.655	1	1	166	6	2	28	1095	0
1.656	1	2	166	7	1	28	1095	0
1.656	1	1	166	7	2	28	1095	0
1.665	1	2	167	6	1	28	1095	0
1.665	1	1	167	6	2	28	1095	0
1.666	1	2	167	7	1	28	1095	0
1.666	1	1	167	7	2	28	1095	0
1.675	1	2	168	6	1	28	1095	0
1.675	1	1	168	6	2	28	1095	0
1.676	1	2	168	7	1	28	1095	0
1.676	1	1	168	7	2	28	1095	0
1.685	1	2	169	6	1	28	1095	0
1.685	1	1	169	6	2	28	1095	0
1.686	1	2	169	7	1	28	1095	0
1.686	1	1	169	7	2	28	1095	0
1.695	1	2	170	6	1	28	1095	0
1.695	1	1	170	6	2	28	1095	0
1.696	1	2	170	7	1	28	1095	0
1.696	1	1	170	7	2	28	1095	0
1.705	1	2	171	6	1	28	1095	0
1.705	1	1	171	6	2	28	1095	0
1.706	1	2	171	7	1	28	1095	0
1.706	1	1	171	7	2	28	1095	0
1.715	1	2	172	6	1	28	1095	0
1.715	1	1	172	6	2	28	1095	0
1.716	1	2	172	7	1	28	1095	0
1.716	1	1	172	7	2	28	1095	0
1.725	1	2	173	6	1	28	1095	0
1.725	1	1	173	6	2	28	1095	0
1.726	1	2	173	7	1	28	1095	0
1.726	1	1	173	7	2	28	1095	0
1.735	1	2	174	6	1	28	1095	0
1.735	1	1	174	6	2	28	1095	0
1.736	1	2	174	7	1	28	1095	0
1.736	1	1	174	7	2	28	1095	0
1.745	1	2	175	6	1	28	1095	0
1.745	1	1	175	6	2	28	1095	0
1.746	1	2	175	7	1	28	1095	0
1.746	1	1	175	7	2	28	1095	0
1.755	1	2	176	6	1	28	1095	0
1.755	1	1	176	6	2	28	1095	0
1.756	1	2	176	7	1	28	1095	0
1.756	1	1	176	7	2	28	1095	0
1.765	1	2	177	6	1	28	1095	0
1.765	1	1	177	6	2	28	1095	0
1.766	1	2	177	7	1	28	1095	0
1.766	1	1	177	7	2	28	1095	0
1.775	1	2	178	6	1	28	1095	0
1.775	1	1	178	6	2	28	1095	0
1.776	1	2	178	7	1	28	1095	0
1.776	1	1	178	7	2	28	1095	0
1.785	1	2	179	6	1	28	1095	0
1.785	1	1	179	6	2	28	1095	0
1.786	1	2	179	7	1	28	1095	0
1.786	1	1	179	7	2	28	1095	0
1.795	1	2	180	6	1	28	1095	0
1.795	1	1	180	6	2	28	1095	0
1.796	1	2	180	7	1	28	1095	0
1.796	1	1	180	7	2	28	1095	0
1.805	1	2	181	6	1	28	1095	0
1.805	1	1	181	6	2	28	1095	0
1.806	1	2	181	7	1	28	1095	0
1.806	1	1	181	7	2	28	1095	0
1.815	1	2	182	6	1	28	1095	0
1.815	1	1	182	6	2	28	1095	0
1.816	1	2	182	7	1	28	1095	0
1.816	1	1	182	7	2	28	1095	0
1.825	1	2	183	6	1	28	1095	0
1.825	1	1	183	6	2	28	1095	0
1.826	1	2	183	7	1	28	1095	0
1.826	1	1	183	7	2	28	1095	0
1.835	1	2	184	6	1	28	1095	0
1.835	1	1	184	6	2	28	1095	0
1.836	1	2	184	7	1	28	1095	0
1.836	1	1	184	7	2	28	1095	0
1.845	1	2	185	6	1	28	1095	0
1.845	1	1	185	6	2	28	1095	0
1.846	1	2	185	7	1	28	1095	0
1.846	1	1	185	7	2	28	1095	0
1.855	1	2	186	6	1	28	1095	0
1.855	1	1	186	6	2	28	1095	0
1.856	1	2	186	7	1	28	1095	0
1.856	1	1	186	7	2	28	1095	0
1.865	1	2	187	6	1	28	1095	0
1.865	1	1	187	6	2	28	1095	0
1.866	1	2	187	7	1	28	1095	0
1.866	1	1	187	7	2	28	1095	0
1.875	1	2	188	6	1	28	1095	0
1.875	1	1	188	6	2	28	1095	0
1.876	1	2	188	7	1	28	1095	0
1.876	1	1	188	7	2	28	1095	0
1.885	1	2	189	6	1	28	1095	0
1.885	1	1	189	6	2	28	1095	0
1.886	1	2	189	7	1	28	1095	0
1.886	1	1	189	7	2	28	1095	0
1.895	1	2	190	6	1	28	1095	0
1.895	1	1	190	6	2	28	1095	0
1.896	1	2	190	7	1	28	1095	0
1.896	1	1	190	7	2	28	1095	0
1.905	1	2	191	6	1	28	1095	0
1.905	1	1	191	6	2	28	1095	0
1.906	1	2	191	7	1	28	1095	0
1.906	1	1	191	7	2	28	1095	0
1.915	1	2	192	6	1	28	1095	0
1.915	1	1	192	6	2	28	1095	0
1.916	1	2	192	7	1	28	1095	0
1.916	1	1	192	7	2	28	1095	0
1.925	1	2	193	6	1	28	1095	0
1.925	1	1	193	6	2	28	1095	0
1.926	1	2	193	7	1	28	1095	0
1.926	1	1	193	7	2	28	1095	0
1.935	1	2	194	6	1	28	1095	0
1.935	1	1	194	6	2	28	1095	0
1.936	1	2	194	7	1	28	1095	0
1.936	1	1	194	7	2	28	1095	0
1.945	1	2	195	6	1	28	1095	0
1.945	1	1	195	6	2	28	1095	0
1.946	1	2	195	7	1	28	1095	0
1.946	1	1	195	7	2	28	1095	0
1.955	1	2	196	6	1	28	1095	0
1.955	1	1	196	6	2	28	1095	0
1.956	1	2	196	7	1	28	1095	0
1.956	1	1	196	7	2	28	1095	0
1.965	1	2	197	6	1	28	1095	0
1.965	1	1	197	6	2	28	1095	0
1.966	1	2	197	7	1	28	1095	0
1.966	1	1	197	7	2	28	1095	0
1.975	1	2	198	6	1	28	1095	0
1.975	1	1	198	6	2	28	1095	0
1.976	1	2	198	7	1	28	1095	0
1.976	1	1	198	7	2	28	1095	0
1.985	1	2	199	6	1	28	1095	0
1.985	1	1	199	6	2	28	1095	0
1.986	1	2	199	7	1	28	1095	0
1.986	1	1	199	7	2	28	1095	0
1.995	1	2	200	6	1	28	1095	0
1.995	1	1	200	6	2	28	1095	0
1.996	1	2	200	7	1	28	1095	0
1.996	1	1	200	7	2	28	1095	0
2.005	1	2	201	6	1	28	1095	0
2.005	1	1	201	6	2	28	1095	0
2.006	1	2	201	7	1	28	1095	0
2.006	1	1	201	7	2	28	1095	0
2.015	1	2	202	6	1	28	1095	0
2.015	1	1	202	6	2	28	1095	0
2.016	1	2	202	7	1	28	1095	0
2.016	1	1	202	7	2	28	1095	0
2.025	1	2	203	6	1	28	1095	0
2.025	1	1	203	6	2	28	1095	0
2.026	1	2	203	7	1	28	1095	0
2.026	1	1	203	7	2	28	1095	0
2.035	1	2	204	6	1	28	1095	0
2.035	1	1	204	6	2	28	1095	0
2.036	1	2	204	7	1	28	1095	0
2.036	1	1	204	7	2	28	1095	0
2.045	1	2	205	6	1	28	1095	0
2.045	1	1	205	6	2	28	1095	0
2.046	1	2	205	7	1	28	1095	0
2.046	1	1	205	7	2	28	1095	0
2.055	1	2	206	6	1	28	1095	0
2.055	1	1	206	6	2	28	1095	0
2.056	1	2	206	7	1	28	1095	0
2.056	1	1	206	7	2	28	1095	0
2.065	1	2	207	6	1	28	1095	0
2.065	1	1	207	6	2	28	1095	0
2.066	1	2	207	7	1	28	1095	0
2.066	1	1	207	7	2	28	1095	0
2.075	1	2	208	6	1	28	1095	0
2.075	1	1	208	6	2	28	1095	0
2.076	1	2	208	7	1	28	1095	0
2.076	1	1	208	7	2	28	1095	0
2.085	1	2	209	6	1	28	1095	0
2.085	1	1	209	6	2	28	1095	0
2.086	1	2	209	7	1	28	1095	0
2.086	1	1	209	7	2	28	1095	0
2.095	1	2	210	6	1	28	1095	0
2.095	1	1	210	6	2	28	1095	0
2.096	1	2	210	7	1	28	1095	0
2.096	1	1	210	7	2	28	1095	0
2.105	1	2	211	6	1	28	1095	0
2.105	1	1	211	6	2	28	1095	0
2.106	1	2	211	7	1	28	1095	0
2.106	1	1	211	7	2	28	1095	0
2.115	1	2	212	6	1	28	1095	0
2.115	1	1	212	6	2	28	1095	0
2.116	1	2	212	7	1	28	1095	0
2.116	1	1	212	7	2	28	1095	0
2.125	1	2	213	6	1	28	1095	0
2.125	1	1	213	6	2	28	1095	0
2.126	1	2	213	7	1	28	1095	0
2.126	1	1	213	7	2	28	1095	0
2.135	1	2	214	6	1	28	1095	0
2.135	1	1	214	6	2	28	1095	0
2.136	1	2	214	7	1	28	1095	0
2.136	1	1	214	7	2	28	1095	0
2.145	1	2	215	6	1	28	1095	0
2.145	1	1	215	6	2	28	1095	0
2.146	1	2	215	7	1	28	1095	0
2.146	1	1	215	7	2	28	1095	0
2.155	1	2	216	6	1	28	1095	0
2.155	1	1	216	6	2	28	1095	0
2.156	1	2	216	7	1	28	1095	0
2.156	1	1	216	7	2	28	1095	0
2.165	1	2	217	6	1	28	1095	0
2.165	1	1	217	6	2	28	1095	0
2.166	1	2	217	7	1	28	1095	0
2.166	1	1	217	7	2	28	1095	0
2.175	1	2	218	6	1	28	1095	0
2.175	1	1	218	6	2	28	1095	0
2.176	1	2	218	7	1	28	1095	0
2.176	1	1	218	7	2	28	1095	0
2.185	1	2	219	6	1	28	1095	0
2.185	1	1	219	6	2	28	1095	0
2.186	1	2	219	7	1	28	1095	0
2.186	1	1	219	7	2	28	1095	0
2.195	1	2	220	6	1	28	1095	0
2.195	1	1	220	6	2	28	1095	0
2.196	1	2	220	7	1	28	1095	0
2.196	1	1	220	7	2	28	1095	0
2.205	1	2	221	6	1	28	1095	0
2.205	1	1	221	6	2	28	1095	0
2.206	1	2	221	7	1	28	1095	0
2.206	1	1	221	7	2	28	1095	0
2.215	1	2	222	6	1	28	1095	0
2.215	1	1	222	6	2	28	1095	0
2.216	1	2	222	7	1	28	1095	0
2.216	1	1	222	7	2	28	1095	0
2.225	1	2	223	6	1	28	1095	0
2.225	1	1	223	6	2	28	1095	0
2.226	1	2	223	7	1	28	1095	0
2.226	1	1	223	7	2	28	1095	0
2.235	1	2	224	6	1	28	1095	0
2.235	1	1	224	6	2	28	1095	0
2.236	1	2	224	7	1	28	1095	0
2.236	1	1	224	7	2	28	1095	0
2.245	1	2	225	6	1	28	1095	0
2.245	1	1	225	6	2	28	1095	0
2.246	1	2	225	7	1	28	1095	0
2.246	1	1	225	7	2	28	1095	0
2.255	1	2	226	6	1	28	1095	0
2.255	1	1	226	6	2	28	1095	0
2.256	1	2	226	7	1	28	1095	0
2.256	1	1	226	7	2	28	1095	0
2.265	1	2	227	6	1	28	1095	0
2.265	1	1	227	6	2	28	1095	0
2.266	1	2	227	7	1	28	1095	0
2.266	1	1	227	7	2	28	1095	0
2.275	1	2	228	6	1	28	1095	0
2.275	1	1	228	6	2	28	1095	0
2.276	1	2	228	7	1	28	1095	0
2.276	1	1	228	7	2	28	1095	0
2.285	1	2	229	6	1	28	1095	0
2.285	1	1	229	6	2	28	1095	0
2.286	1	2	229	7	1	28	1095	0
2.286	1	1	229	7	2	28	1095	0
2.295	1	2	230	6	1	28	1095	0
2.295	1	1	230	6	2	28	1095	0
2.296	1	2	230	7	1	28	1095	0
2.296	1	1	230	7	2	28	1095	0
2.305	1	2	231	6	1	28	1095	0
2.305	1	1	231	6	2	28	1095	0
2.306	1	2	231	7	1	28	1095	0
2.306	1	1	231	7	2	28	1095	0
2.315	1	2	232	6	1	28	1095	0
2.315	1	1	232	6	2	28	1095	0
2.316	1	2	232	7	1	28	1095	0
2.316	1	1	232	7	2	28	1095	0
2.325	1	2	233	6	1	28	1095	0
2.325	1	1	233	6	2	28	1095	0
2.326	1	2	233	7	1	28	1095	0
2.326	1	1	233	7	2	28	1095	0
2.335	1	2	234	6	1	28	1095	0
2.335	1	1	234	6	2	28	1095	0
2.336	1	2	234	7	1	28	1095	0
2.336	1	1	234	7	2	28	1095	0
2.345	1	2	235	6	1	28	1095	0
2.345	1	1	235	6	2	28	1095	0
2.346	1	2	235	7	1	28	1095	0
2.346	1	1	235	7	2	28	1095	0
2.355	1	2	236	6	1	28	1095	0
2.355	1	1	236	6	2	28	1095	0
2.356	1	2	236	7	1	28	1095	0
2.356	1	1	236	7	2	28	1095	0
2.365	1	2	237	6	1	28	1095	0
2.365	1	1	237	6	2	28	1095	0
2.366	1	2	237	7	1	28	1095	0
2.366	1	1	237	7	2	28	1095	0
2.375	1	2	238	6	1	28	1095	0
2.375	1	1	238	6	2	28	1095	0
2.376	1	2	238	7	1	28	1095	0
2.376	1	1	238	7	2	28	1095	0
2.385	1	2	239	6	1	28	1095	0
2.385	1	1	239	6	2	28	1095	0
2.386	1	2	239	7	1	28	1095	0
2.386	1	1	239	7	2	28	1095	0
2.395	1	2	240	6	1	28	1095	0
2.395	1	1	240	6	2	28	1095	0
2.396	1	2	240	7	1	28	1095	0
2.396	1	1	240	7	2	28	1095	0
2.405	1	2	241	6	1	28	1095	0
2.405	1	1	241	6	2	28	1095	0
2.406	1	2	241	7	1	28	1095	0
2.406	1	1	241	7	2	28	1095	0
2.415	1	2	242	6	1	28	1095	0
2.415	1	1	242	6	2	28	1095	0
2.416	1	2	242	7	1	28	1095	0
2.416	1	1	242	7	2	28	1095	0
2.425	1	2	243	6	1	28	1095	0
2.425	1	1	243	6	2	28	1095	0
2.426	1	2	243	7	1	28	1095	0
2.426	1	1	243	7	2	28	1095	0
2.435	1	2	244	6	1	28	1095	0
2.435	1	1	244	6	2	28	1095	0
2.436	1	2	244	7	1	28	1095	0
2.436	1	1	244	7	2	28	1095	0
2.445	1	2	245	6	1	28	1095	0
2.445	1	1	245	6	2	28	1095	0
2.446	1	2	245	7	1	28	1095	0
2.446	1	1	245	7	2	28	1095	0
2.455	1	2	246	6	1	28	1095	0
2.455	1	1	246	6	2	28	1095	0
2.456	1	2	246	7	1	28	1095	0
2.456	1	1	246	7	2	28	1095	0
2.465	1	2	247	6	1	28	1095	0
2.465	1	1	247	6	2	28	1095	0
2.466	1	2	247	7	1	28	1095	0
2.466	1	1	247	7	2	28	1095	0
2.475	1	2	248	6	1	28	1095	0
2.475	1	1	248	6	2	28	1095	0
2.476	1	2	248	7	1	28	1095	0
2.476	1	1	248	7	2	28	1095	0
2.485	1	2	249	6	1	28	1095	0
2.485	1	1	249	6	2	28	1095	0
2.486	1	2	249	7	1	28	1095	0
2.486	1	1	249	7	2	28	1095	0
2.495	1	2	250	6	1	28	1095	0
2.495	1	1	250	6	2	28	1095	0
2.496	1	2	250	7	1	28	1095	0
2.496	1	1	250	7	2	28	1095	0
2.505	1	2	251	6	1	28	1095	0
2.505	1	1	251	6	2	28	1095	0
2.506	1	2	251	7	1	28	1095	0
2.506	1	1	251	7	2	28	1095	0
2.515	1	2	252	6	1	28	1095	0
2.515	1	1	252	6	2	28	1095	0
2.516	1	2	252	7	1	28	1095	0
2.516	1	1	252	7	2	28	1095	0
2.525	1	2	253	6	1	28	1095	0
2.525	1	1	253	6	2	28	1095	0
2.526	1	2	253	7	1	28	1095	0
2.526	1	1	253	7	2	28	1095	0
2.535	1	2	254	6	1	28	1095	0
2.535	1	1	254	6	2	28	1095	0
2.536	1	2	254	7	1	28	1095	0
2.536	1	1	254	7	2	28	1095	0
2.545	1	2	255	6	1	28	1095	0
2.545	1	1	255	6	2	28	1095	0
2.546	1	2	255	7	1	28	1095	0
2.546	1	1	255	7	2	28	1095	0
2.555	1	2	256	6	1	28	1095	0
2.555	1	1	256	6	2	28	1095	0
2.556	1	2	256	7	1	28	1095	0
2.556	1	1	256	7	2	28	1095	0
2.565	1	2	257	6	1	28	1095	0
2.565	1	1	257	6	2	28	1095	0
2.566	1	2	257	7	1	28	1095	0
2.566	1	1	257	7	2	28	1095	0
2.575	1	2	258	6	1	28	1095	0
2.575	1	1	258	6	2	28	1095	0
2.576	1	2	258	7	1	28	1095	0
2.576	1	1	258	7	2	28	1095	0
2.585	1	2	259	6	1	28	1095	0
2.585	1	1	259	6	2	28	1095	0
2.586	1	2	259	7	1	28	1095	0
2.586	1	1	259	7	2	28	1095	0
2.595	1	2	260	6	1	28	1095	0
2.595	1	1	260	6	2	28	1095	0
2.596	1	2	260	7	1	28	1095	0
2.596	1	1	260	7	2	28	1095	0
2.605	1	2	261	6	1	28	1095	0
2.605	1	1	261	6	2	28	1095	0
2.606	1	2	261	7	1	28	1095	0
2.606	1	1	261	7	2	28	1095	0
2.615	1	2	262	6	1	28	1095	0
2.615	1	1	262	6	2	28	1095	0
2.616	1	2	262	7	1	28	1095	0
2.616	1	1	262	7	2	28	1095	0
2.625	1	2	263	6	1	28	1095	0
2.625	1	1	263	6	2	28	1095	0
2.626	1	2	263	7	1	28	1095	0
2.626	1	1	263	7	2	28	1095	0
2.635	1	2	264	6	1	28	1095	0
2.635	1	1	264	6	2	28	1095	0
2.636	1	2	264	7	1	28	1095	0
2.636	1	1	264	7	2	28	1095	0
2.645	1	2	265	6	1	28	1095	0
2.645	1	1	265	6	2	28	1095	0
2.646	1	2	265	7	1	28	1095	0
2.646	1	1	265	7	2	28	1095	0
2.655	1	2	266	6	1	28	1095	0
2.655	1	1	266	6	2	28	1095	0
2.656	1	2	266	7	1	28	1095	0
